date,prediction,articles_per_day
2022-01-04,-0.3031815346225827,558.0
2022-01-05,-0.27349367716340195,696.0
2022-01-06,-0.3026950354609929,605.0
2022-01-07,-0.26988265971316816,661.0
2022-01-08,-0.29300567107750475,362.0
2022-01-09,-0.30936708860759493,333.0
2022-01-10,-0.30228546787408367,398.0
2022-01-11,-0.3735651033125615,530.0
2022-01-12,-0.30246913580246915,620.0
2022-01-13,-0.2861244019138756,549.0
2022-01-14,-0.2789347900307272,505.0
2022-01-15,-0.25220093215950284,330.0
2022-01-16,-0.30601092896174864,310.0
2022-01-17,-0.3322658126501201,215.0
2022-01-18,-0.24374041900868676,338.0
2022-01-19,-0.11792282726289217,482.0
2022-01-20,-0.14594594594594595,416.0
2022-01-21,-0.1796157059314954,413.0
2022-01-22,-0.21428571428571427,244.0
2022-01-23,-0.266617969320672,233.0
2022-01-24,-0.2789115646258503,280.0
2022-01-25,-0.2175423360833695,399.0
2022-01-26,-0.16638078902229847,405.0
2022-01-27,-0.13217768147345613,319.0
2022-01-28,-0.23404255319148937,278.0
2022-01-29,-0.21763085399449036,188.0
2022-01-30,-0.26630851880276285,222.0
2022-01-31,-0.158364312267658,235.0
2022-02-01,-0.12791358726549176,304.0
2022-02-02,-0.17586795674445077,305.0
2022-02-03,-0.1266490765171504,263.0
2022-02-04,-0.04807692307692308,251.0
2022-02-05,-0.07276995305164319,147.0
2022-02-06,-0.13870967741935483,210.0
2022-02-07,-0.17142857142857143,191.0
2022-02-08,-0.08443908323281062,280.0
2022-02-09,-0.08413098236775819,339.0
2022-02-10,-0.010618363522798251,274.0
2022-02-11,-0.051663128096249115,244.0
2022-02-12,-0.035752979414951244,158.0
2022-02-13,-0.23399014778325122,139.0
2022-02-14,-0.05588822355289421,170.0
2022-02-15,-0.04096045197740113,243.0
2022-02-16,0.017543859649122806,244.0
2022-02-17,-0.003061849357011635,279.0
2022-02-18,-0.026455026455026454,226.0
2022-02-19,0.04157549234135667,155.0
2022-02-20,-0.03593556381660471,137.0
2022-02-21,-0.16085790884718498,127.0
2022-02-22,-0.03350083752093802,204.0
2022-02-23,0.0791044776119403,230.0
2022-02-24,0.07844905320108206,190.0
2022-02-25,0.14343029087261785,173.0
2022-02-26,0.17569352708058125,128.0
2022-02-27,0.01437908496732026,130.0
2022-02-28,0.10278578290105668,177.0
2022-03-01,0.13672154617036505,240.0
2022-03-02,0.13570887035633056,228.0
2022-03-03,0.03770739064856712,230.0
2022-03-04,0.08357915437561456,176.0
2022-03-05,0.09636650868878358,111.0
2022-03-06,-0.13742690058479531,115.0
2022-03-07,-0.06620209059233449,150.0
2022-03-08,-0.00821917808219178,189.0
2022-03-09,0.06682027649769585,149.0
2022-03-10,0.008832188420019628,174.0
2022-03-11,-0.04751131221719457,152.0
2022-03-12,-0.04,85.0
2022-03-13,-0.030534351145038167,133.0
2022-03-14,-0.1450381679389313,135.0
2022-03-15,-0.14509122502172025,197.0
2022-03-16,-0.12216216216216216,159.0
2022-03-17,-0.09377901578458682,185.0
2022-03-18,-0.08762886597938144,134.0
2022-03-19,-0.0603290676416819,92.0
2022-03-20,-0.17262830482115085,109.0
2022-03-21,-0.024531024531024532,119.0
2022-03-22,-0.08538011695906433,149.0
2022-03-23,-0.14060963618485742,176.0
2022-03-24,0.03137789904502047,126.0
